# RULE-SYNC-REGISTER.tsv — bidirectional rule-coverage audit
# slop=309 ksf=14 charon-reverse=16
# direction: into-charon = SLOP/KSF rule evaluated against Charon; out-of-charon = Charon mechanism SLOP/KSF lack
# charon_status: ported | gap | n-a
# action: none | port-to-charon | file-slop-ticket | file-ksf-ticket
source_framework	rule_id	rule_summary	charon_status	direction	mechanized	action	note
slop	SLOP-INV:5.43	Semantic versioning: MAJOR.MINOR.PATCH; patch skips audit gate; minor requires all 4 pre-release gates; major adds breaking-change review	n-a	into-charon	none	none	Charon is a build-rig, not a versioned product.
slop	SLOP-INV:5.44	Tag creation: confirm gates, update CHANGELOG, update versions, commit, annotated tag with annotation, push tag	n-a	into-charon	none	none	No product tags in Charon.
slop	SLOP-INV:5.45	Exactly ONE editable working tree (mediastack monorepo); public Nnyan/SLOP is transient OUTPUT of make_public; no second editable target	n-a	into-charon	none	none	Charon has a multi-worktree model by design (each droid in its own worktree). Different model, both valid.
slop	SLOP-INV:5.46	Divergence vectors: direct hand-edit detected by check_public_determinism; non-allowlisted leak blocked by check_public_output; second editable tree deleted	n-a	into-charon	none	none	Charon has no public output product; only the rig itself.
slop	SLOP-INV:5.47	Reuse-and-blast-radius: search sibling family first before building; parameterize over SET; no single-entity hardcodes on known plural set	ported	into-charon	fleet/reuse-check.sh	none	Same as SLOP-INV:5.5; same Charon rule.
slop	SLOP-INV:5.48	Four questions before new tool/gate: what need closes, why this mechanism vs existing lens, failure mode, proven-red probe exists now	ported	into-charon	none	none	MANAGER-OPERATING-RULES §11 'independent-review floor' + §12 '§6 ANTI-ACCRETION meta-rule' carry the same four-questions.
slop	SLOP-INV:5.49	Records in SAME commit: new tool → lessons.json entry; new enforcement → REVIEW-LOG; doctrine edit → WALK-BACK-LOG; ratchet/noqa → suppression_ledger	ported	into-charon	docs/review-log/<id>.md	none	Charon review-log fragments are the per-ticket equivalent.
slop	SLOP-INV:5.50	Schema is the post-migration target: a fresh clone bootstrapped from schema.sql gets SAME model as existing DB after migrations	n-a	into-charon	none	none	No SQL in Charon.
slop	SLOP-INV:5.51	Only INSERT/UPDATE/SELECT allowed; DELETE/DROP/DDL out of scope. Pruning = status transition (UPDATE), never DELETE	n-a	into-charon	none	none	No SQL in Charon.
slop	SLOP-INV:5.52	description column: PINNED column name, embedded by BATCH-29 (not renamed); source column: free-form provenance, OPEN (no CHECK constraint)	n-a	into-charon	none	none	No SQL in Charon.
slop	SLOP-INV:5.53	surface column: repo-relative path GLOB (topology join key for tools/, backend/, etc.), NOT an FK, NULL for items with no single code surface	n-a	into-charon	none	none	Charon ticket surface lives in ROADMAP.tsv directly; not a SQL concern.
slop	SLOP-INV:5.54	close_proof column: committed artifact path or origin/main SHA or 'NO-PROOF: <reason>' or NULL; re-checked by audit_close_proofs	gap	into-charon	none	port-to-charon	Charon done.sh emits a record but no close_proof column; checkin.sh is closest.
slop	SLOP-INV:5.55	INVARIANT A: batch cannot be CLOSED if it has open/in_progress items	n-a	into-charon	none	none	Charon no batch concept at the data layer.
slop	SLOP-INV:5.56	INVARIANT B: cannot file/move an open/in_progress item under a CLOSED batch	n-a	into-charon	none	none	Same as above.
slop	SLOP-INV:5.57	Single Python source for backlog_items taxonomy domains — one place query.py and consumers read allowed values from; MUST stay identical to schema.sql CHECK constraints	n-a	into-charon	none	none	Charon ROADMAP.tsv is the analog; not Python.
slop	SLOP-INV:5.58	KEEP/FOLD category decisions recorded so future folds have the same template; sub-variants with N<5 rows don't carry dispatch weight	gap	into-charon	none	port-to-charon	Charon ROADMAP.tsv has Wave columns; no KEEP/FOLD template discipline.
slop	SLOP-INV:5.59	SSOT for tracking DB path — derive from git --git-common-dir, not stored. Tracking DB is gitignored and MAIN-tree-only	n-a	into-charon	none	none	Charon uses gitignored runtime state; not a path-derive concern.
slop	SLOP-INV:5.60	main_tree_root() derives main worktree from --git-common-dir so linked worktrees resolve the real DB (not a phantom/decoy)	n-a	into-charon	none	none	Same as above.
slop	SLOP-INV:5.61	tracking_db_path(): MS_TRACKING_DB env override; else derived from main worktree root. Override for CI/staging/tests	n-a	into-charon	none	none	Same as above.
slop	SLOP-INV:5.62	ms-enforce Tier 1: Linecount Ratchet	gap	into-charon	none	port-to-charon	Charon no file-size ratchet; could import KSF as no_vacuous variant.
slop	SLOP-INV:5.63	ms-enforce Tier 1: Wave Prompt Isolation	gap	into-charon	none	port-to-charon	Charon has parallelizability-gate.sh but not the wave-prompt-isolation analog.
slop	SLOP-INV:5.64	ms-enforce Tier 1: Canonical Commit Guard (HARD backstop: canonical-checkout commit guard git hook must be installed; fails LOUDLY if removed)	gap	into-charon	fleet/hooks	port-to-charon	Charon no canonical-commit-guard hook; relies on operator discipline.
slop	SLOP-INV:5.65	ms-enforce Tier 1: Dockerfile Pins	n-a	into-charon	none	none	No Dockerfile in Charon.
slop	SLOP-INV:5.66	ms-enforce Tier 1: ADR Conformance (ADR headers use bare section names, not numbered)	ported	into-charon	none	none	Charon ADR-*.md uses Context/Decision/Consequences/Status format; no enforcement but the format is right.
slop	SLOP-INV:5.67	ms-enforce Tier 1: Heredoc Python — flags heredoc Python >20 lines (invisible to Ruff/Semgrep/Bandit)	gap	into-charon	none	port-to-charon	Charon prompts/ and fleet/ have heredoc python; no auto-flag.
slop	SLOP-INV:5.68	ms-enforce Tier 1: Migration Sequence	n-a	into-charon	none	none	No SQL migrations in Charon.
slop	SLOP-INV:5.69	ms-enforce Tier 1: Py Migration API	n-a	into-charon	none	none	Same as above.
slop	SLOP-INV:5.70	ms-enforce Tier 1: Schema SQL Sync	n-a	into-charon	none	none	Same as above.
slop	SLOP-INV:5.71	ms-enforce Tier 1: No Ad-Hoc CREATE TABLE	n-a	into-charon	none	none	Same as above.
slop	SLOP-INV:5.72	ms-enforce Tier 1: Pytest Scratch Cleanup	gap	into-charon	pytest.ini	port-to-charon	Charon pytest.ini has norecursedirs but no explicit basetemp / cleanup check.
slop	SLOP-INV:5.73	ms-enforce Tier 1: Ownership Check	n-a	into-charon	none	none	Charon is single-user; ownership is the operator's concern.
slop	SLOP-INV:5.74	ms-enforce Tier 1: ShellCheck	gap	into-charon	none	port-to-charon	Charon has many shell scripts (fleet/*.sh); no ShellCheck gate.
slop	SLOP-INV:5.75	ms-enforce Tier 1: Repository Structure	gap	into-charon	none	port-to-charon	Charon no canonical-doc gate.
slop	SLOP-INV:5.76	ms-enforce Tier 1: Rule-Addition Contract	gap	into-charon	none	port-to-charon	Same as SLOP-INV:5.27.
slop	SLOP-INV:5.77	ms-enforce Tier 1: Mypy-Tools Ratchet	gap	into-charon	none	port-to-charon	Charon no tools/ ratchet.
slop	SLOP-INV:5.78	ms-enforce Tier 2: Logging Discipline	n-a	into-charon	none	none	Charon uses print() in scripts; logging not a backend concern.
slop	SLOP-INV:5.79	ms-enforce Tier 2: ADR Present for Breaking Change	gap	into-charon	none	port-to-charon	Charon no auto-flag for breaking changes needing ADR; not enforced but ADR practice is in place.
slop	SLOP-INV:5.80	tools/check_revert_patterns.py	gap	into-charon	fleet/checks	port-to-charon	Charon has no known-bad-revert-pattern registry; KSF leak_guard covers secret leaks but not CI patterns.
slop	SLOP-INV:5.81	tools/check_slop_seam.py	n-a	into-charon	none	none	Charon no product seam to validate.
slop	SLOP-INV:5.82	tools/check_public_output.py	n-a	into-charon	none	none	Charon is not a public product publisher.
slop	SLOP-INV:5.83	tools/check_public_determinism.py	n-a	into-charon	none	none	Same as above.
slop	SLOP-INV:5.84	tools/check_config_cleanliness.py	n-a	into-charon	none	none	Same as above.
slop	SLOP-INV:5.85	tools/check_referenced_files.py (orphan detector)	gap	into-charon	none	port-to-charon	Charon no orphan-file detector; many SESSION-HANDOFF-*.md sit unused.
slop	SLOP-INV:5.86	tools/check_wave_defer_health.py	n-a	into-charon	none	none	Charon no WAVE-DEFER concept; ROADMAP.tsv is the wave structure.
slop	SLOP-INV:5.87	pre-commit: canonical commit guard	gap	into-charon	fleet/hooks	port-to-charon	Same as SLOP-INV:5.64.
slop	SLOP-INV:5.88	AGENTS.md surface-ownership — touch ONLY files inside surface; file outside → STOP	ported	into-charon	none	none	MANAGER-OPERATING-RULES §5 'disjoint owns' + the ticket's owns: line enforce this.
slop	SLOP-INV:6.1	Rule 3: Red-proof every gate — every enforcement gate must include a companion negative test proving the gate CAN fail	ported	into-charon	fleet/tests/*.test.sh	none	Charon fleet/tests/*.test.sh follow this discipline (KISS spirit, not strict redproof).
slop	SLOP-INV:6.2	Rule 4: No duplicate test names in the same file — duplicate function names cause silent coverage gaps	n-a	into-charon	none	none	Charon uses shell-based .test.sh; no pytest duplicate concern.
slop	SLOP-INV:6.3	Pre-merge checklist: pre-commit hook + pytest; new behaviour gets test; mypy --strict clean; commit subjects follow CC 1.0; new architectural constraint → ms-coverage RULES entry	ported	into-charon	fleet/land.sh	none	MANAGER-OPERATING-RULES §8 'merge-gate-is-full-ci-not-pytest' is the Charon equivalent.
slop	SLOP-INV:6.4	Snapshot tests: syrupy snapshots for stable outputs; committed snapshots in same commit as source change	n-a	into-charon	none	none	Charon has no UI/API snapshots; not applicable.
slop	SLOP-INV:6.5	Test independence: tests pass under arbitrary order; CI runs random shuffle; new tests must pass under arbitrary order	gap	into-charon	none	port-to-charon	Charon has no random-seed CI; tests/*.test.sh assume serial order.
slop	SLOP-INV:6.6	Rule 1.4: Zero gaps — no untested behavior; gaps tracked in data/coverage_map.json and surfaced in ms-check runs	gap	into-charon	none	port-to-charon	Charon no coverage map; KSF coverage_ssot could provide.
slop	SLOP-INV:6.7	Rule 2.1: Full E2E testing — every user-facing flow tested with full stack (HTTP→logic→DB→read→verify) via TestClient+real SQLite	n-a	into-charon	none	none	Charon has no HTTP API end-to-end; proxy_server has integration tests but not full-stack.
slop	SLOP-INV:6.8	Rule 2.2: Test correctness not presence — asserts on real outcomes, never structural assertions	ported	into-charon	fleet/tests/*.test.sh	none	Charon test discipline follows this in spirit (KISS, bash).
slop	SLOP-INV:6.9	Rule 2.3: Test behavior not structure — assert on DB state after call, response body field values, fragment content, not return values alone	n-a	into-charon	none	none	Charon tests assert on filesystem and stdout; not DB rows.
slop	SLOP-INV:6.10	Rule 2.4: Proactive not reactive — tests exist before bugs; new rule added to ms-coverage RULES in same commit as bug fix	ported	into-charon	none	none	MANAGER-OPERATING-RULES §8 'tests-must-fail-on-revert' enforces same-commit testing.
slop	SLOP-INV:6.11	Rule 2.5: Regression test mandatory for every bug fix — test must fail on pre-fix code and pass after fix in same commit	ported	into-charon	none	none	Same as SLOP-INV:6.10.
slop	SLOP-INV:6.12	Rule 2.6: Test fixtures must be self-contained — each fixture creates isolated state, never depends on another's side effects	ported	into-charon	fleet/tests/fixtures	none	Charon fleet/tests/fixtures exists; same discipline.
slop	SLOP-INV:6.13	Rule 2.7: Verify against implementation not intention — verify what code actually does before writing test	ported	into-charon	none	none	MANAGER-OPERATING-RULES §10 'project-start audit' + 'confirm-dont-trust-documentation'.
slop	SLOP-INV:6.14	Rule 3.1: Semantic checks not just syntax — YAML valid ≠ YAML correct; every manifest checked for required fields, categories, traefik/health block presence	n-a	into-charon	none	none	No YAML manifests in Charon.
slop	SLOP-INV:6.15	Rule 3.2: All Blocks Validated	n-a	into-charon	none	none	Same as above.
slop	SLOP-INV:6.16	Rule 3.3: Validate Content Contracts (API responses match Vue component expectations; round-trip verified)	n-a	into-charon	none	none	No Vue in Charon.
slop	SLOP-INV:6.17	Rule 3.4: Validate Schema and Semantic Rules	n-a	into-charon	none	none	Same as above.
slop	SLOP-INV:6.18	Rule 3.5: No pure static analysis — static checks must have behavioral companion	ported	into-charon	fleet/tests/*.test.sh	none	Charon tests/*.test.sh run actual gate scripts against tmp_path; behavioral.
slop	SLOP-INV:6.19	Rule 3.6: Confirm all rule matching — every audit rule verified against at least one known instance before declared active	gap	into-charon	none	port-to-charon	KSF redproof gate is the formal version; Charon has it for some gates (KISS spirit) but not all.
slop	SLOP-INV:6.20	Rule 3.7: Zero-Data State Must Not Return 500	n-a	into-charon	none	none	No HTTP API in Charon (proxy server is relay; the receiving is OpenAI-compatible).
slop	SLOP-INV:6.21	Rule 3.9: Test infrastructure must use same path sources as production code	n-a	into-charon	none	none	Charon tests use tmp_path consistently; not a write-path concern.
slop	SLOP-INV:6.22	Rule 4.3: Analyze both source and behavioral coverage	gap	into-charon	none	port-to-charon	Charon no node-level coverage map.
slop	SLOP-INV:6.23	Rule 4.11: Snapshot Discipline	n-a	into-charon	none	none	No UI snapshots in Charon.
slop	SLOP-INV:6.24	Rule 4.12: Mocking Discipline — mock at system boundary not project boundary; >3 internal @patch per test → warn	n-a	into-charon	none	none	Charon has no @patch; shell-based tests are integration by default.
slop	SLOP-INV:6.25	Rule 4.16: Test Independence	gap	into-charon	none	port-to-charon	Same as SLOP-INV:6.5; no random-seed CI in Charon.
slop	SLOP-INV:6.26	Rule 4.5: Code generators must be tested — output syntactically valid, expected content, correct REPO resolution, generated tests actually collect and run	n-a	into-charon	none	none	Charon no code generators.
slop	SLOP-INV:6.27	Rule 5.3: FSM Testing for All State Machines	n-a	into-charon	none	none	Charon has proxy FSM but no formal FSM tests in this layer (KSF coverage_ssot is the meta).
slop	SLOP-INV:6.28	Rule 5.4: FakeDockerClient for Docker-Dependent Tests	n-a	into-charon	none	none	Charon has no Docker tests in the build-rig layer.
slop	SLOP-INV:6.29	Rule 5.5: Catalog Compliance Is a Merge Gate	n-a	into-charon	none	none	No catalog in Charon.
slop	SLOP-INV:6.30	Rule 5.9: Mutation Kill Rate Thresholds (executor.py/state.py >=80%, wizard.py/checker.py >=70%, compose.py/apps.py >=60%)	n-a	into-charon	none	none	No mutmut in Charon; KSF redproof is the structural analog.
slop	SLOP-INV:6.31	Rule 5.10: Schemathesis Zero-500 Guarantee	n-a	into-charon	none	none	No Schemathesis; not applicable.
slop	SLOP-INV:6.32	Rule 5.11: Playwright Coverage of All Vue Views	n-a	into-charon	none	none	No Vue in Charon.
slop	SLOP-INV:6.33	Rule 5.12: Keploy Session Capture (DEPRECATED)	n-a	into-charon	none	none	Deprecated upstream; not relevant.
slop	SLOP-INV:6.34	Rule 5.13: LLM AI Context Is Automatically Assembled	n-a	into-charon	none	none	No mutmut/Schemathesis; not applicable.
slop	SLOP-INV:6.35	Rule 5.14: Static Analysis on Every Commit (Ruff + Bandit + Gitleaks + ESLint)	gap	into-charon	ruff (ad-hoc)	port-to-charon	MANAGER-OPERATING-RULES step 3 'ruff check' runs but no Bandit/Gitleaks/ESLint.
slop	SLOP-INV:6.36	Rule 5.15: Semgrep Custom Architectural Rules at Commit Time	gap	into-charon	none	port-to-charon	Charon no Semgrep; KSF leak_guard + no_pipe_mask are the text-pattern analogs.
slop	SLOP-INV:6.37	Rule 5.16: Weekly CVE Scanning (Trivy + pip-audit)	gap	into-charon	none	port-to-charon	Charon stdlib-only — no third-party deps to scan; trivy/pip-audit are N/A. Lower priority.
slop	SLOP-INV:6.38	Rule 5.17: Property-Based Testing for Security-Critical Functions (hypothesis)	gap	into-charon	none	port-to-charon	Charon no hypothesis; could adopt for KSF redproof adversarial inputs.
slop	SLOP-INV:6.39	Rule 5.18: CodeQL Inter-Procedural Taint Analysis (GitHub Actions weekly)	gap	into-charon	none	port-to-charon	Charon no CodeQL; not strictly needed (stdlib-only) but pattern could be replicated in KSF.
slop	SLOP-INV:6.40	Rule 5.27: Installer Two-Track Test Coverage	n-a	into-charon	none	none	No installer in Charon.
slop	SLOP-INV:6.41	Pre-release gates: ms-enforce gate, pre-flight verification checklist (9 items), vocabulary sweep, audit gate	ported	into-charon	fleet/preflight.sh	none	Charon preflight.sh + land.sh + done.sh cover the equivalent.
slop	SLOP-INV:6.42	CLAUDE.md Rules-to-Tests Audit	gap	into-charon	none	port-to-charon	Charon has had ad-hoc rule audits (REVIEW-LOG, HANDOFF) but no formal rules-to-tests pipeline. This ticket's output (RULE-SYNC-REGISTER.tsv) is the start.
slop	SLOP-INV:6.43	Audit classifies 47 CLAUDE.md rules: 22 YES (testable), 11 PARTIAL, 14 NO; S-55-B migrated 8 YES rules in batch 1	gap	into-charon	none	port-to-charon	Same as above.
slop	SLOP-INV:6.44	Step verification: quote literal text, decompose into acceptance criteria, produce file:line evidence, label each AC status	ported	into-charon	fleet/handoff-check.sh	none	MANAGER-OPERATING-RULES §2 'mechanized-handoff-gate' (handoff-check.sh) carries file:line evidence.
slop	SLOP-INV:6.45	Spec-implementation mapping must be bidirectional: spec→implementation and implementation→spec; flag orphans both directions	gap	into-charon	fleet/state/RULE-SYNC-REGISTER.tsv	port-to-charon	This register IS the start of the bidirectional mapping; needs a gate to detect drift.
slop	SLOP-INV:6.46	Scope-creep audit: treat scope adherence as explicit acceptance check	ported	into-charon	none	none	MANAGER-OPERATING-RULES §4 'disjoint owns' enforces scope.
slop	SLOP-INV:6.47	Verification status symbols: ✓ verified clean · △ cosmetic divergence · ❓ unverifiable from disk	gap	into-charon	none	port-to-charon	Charon no formal status-symbol vocabulary; SLOP-style could be adopted.
slop	SLOP-INV:6.48	Verification commands not assertions — claims of passes/strict/clean need ACTUAL checker run with exact command and exit code	ported	into-charon	none	none	MANAGER-OPERATING-RULES §8 'merge-gate-is-full-ci-not-pytest' is the same discipline.
slop	SLOP-INV:6.49	Apply script discipline: use ms_replace_anchor, anchor uniqueness grep-verified, idempotent re-runs, skip-clean commit before ms_commit_simple	n-a	into-charon	none	none	Charon no apply scripts; not applicable.
slop	SLOP-INV:6.50	ms-enforce Tier 1: Path Contracts (TestPathContractAlignment)	n-a	into-charon	none	none	Charon shell tests use tmp_path; not a pytest concern.
slop	SLOP-INV:6.51	ms-enforce Tier 1: Catalog Compliance	n-a	into-charon	none	none	No catalog.
slop	SLOP-INV:6.52	ms-enforce Tier 1: Ruff Crash-Risk	gap	into-charon	ruff check	port-to-charon	Charon runs ruff but no F821/C901 select subset; ruff C901 explicit max-complexity not configured.
slop	SLOP-INV:6.53	ms-enforce Tier 1: Ruff Ratchet	gap	into-charon	none	port-to-charon	Charon no ruff-ratchet baseline; ruff errors are not shrink-only enforced.
slop	SLOP-INV:6.54	ms-enforce Tier 1: Mypy (backend/)	ported	into-charon	mypy	none	MANAGER-OPERATING-RULES step 3 'mypy src tests' runs mypy on src/.
slop	SLOP-INV:6.55	ms-enforce Tier 1: Write-Read Cycle Contracts	gap	into-charon	none	port-to-charon	Charon no formal write-read cycle contract test.
slop	SLOP-INV:6.56	ms-enforce Tier 1: Precondition Declarations	n-a	into-charon	none	none	Charon shell tests are simpler; no section_requires analog.
slop	SLOP-INV:6.57	ms-enforce Tier 1: Refactor Coverage	n-a	into-charon	none	none	No ms-refactor in Charon.
slop	SLOP-INV:6.58	ms-enforce Tier 1: Known Flakes Static	n-a	into-charon	none	none	No known-flakes registry in Charon.
slop	SLOP-INV:6.59	ms-enforce Tier 1: Generated Suite Freshness	n-a	into-charon	none	none	No generated test suite in Charon.
slop	SLOP-INV:6.60	ms-enforce Tier 1: Generated Suite Node-Set	n-a	into-charon	none	none	Same as above.
slop	SLOP-INV:6.61	ms-enforce Tier 1 (warn-only): Unprobed Ratchet	gap	into-charon	fleet/state/REDS-CORPUS.md	port-to-charon	REDS-CORPUS.md is closest; not yet a shrink-only ratchet.
slop	SLOP-INV:6.62	ms-enforce Tier 2: FSM Tests	n-a	into-charon	none	none	No FSM tests in Charon's fleet layer.
slop	SLOP-INV:6.63	ms-enforce Tier 2: Test Collection	gap	into-charon	pytest.ini	port-to-charon	Charon pytest.ini collects, but no auto-verify that all *.test.sh pass --collect-only equivalent.
slop	SLOP-INV:6.64	ms-enforce Tier 2: Snapshots	n-a	into-charon	none	none	No syrupy snapshots in Charon.
slop	SLOP-INV:6.65	ms-enforce Tier 2: Mock Discipline	n-a	into-charon	none	none	Charon shell-based; no @patch.
slop	SLOP-INV:6.66	ms-enforce Tier 2: Dead Code (vulture at 80% confidence)	gap	into-charon	none	port-to-charon	KSF inert_code is the structural analog; not yet a vulture-equivalent on Charon fleet/.
slop	SLOP-INV:6.67	ms-enforce Tier 2: Generated Suite Executes	n-a	into-charon	none	none	No generated suite in Charon.
slop	SLOP-INV:6.68	ms-enforce Tier 2: Coverage Frozen Freshness (LOCAL-ONLY)	n-a	into-charon	none	none	No frozen coverage map in Charon.
slop	SLOP-INV:6.69	ms-enforce (warn-only): Backlog Coverage	gap	into-charon	none	port-to-charon	Charon no backlog-coverage audit; could use ROADMAP.tsv status as input.
slop	SLOP-INV:6.70	ms-enforce (warn-only): Tracking DB Stale	n-a	into-charon	none	none	No tracking DB in Charon.
slop	SLOP-INV:6.71	ms-enforce (warn-only): Close Proofs	gap	into-charon	none	port-to-charon	Same as SLOP-INV:5.54; no close_proof column.
slop	SLOP-INV:6.72	ms-enforce (warn-only): XFAIL Age	n-a	into-charon	none	none	Charon shell tests have no xfail equivalent.
slop	SLOP-INV:6.73	ms-enforce (warn-only): Structural Antipatterns	gap	into-charon	none	port-to-charon	Same as SLOP-INV:5.30; KSF leak_guard + no_pipe_mask are per-instance.
slop	SLOP-INV:6.74	ms-enforce (warn-only): Probe Aging	gap	into-charon	none	port-to-charon	Same as SLOP-INV:5.36-5.40.
slop	SLOP-INV:6.75	ms-enforce (warn-only): Autoformat (shfmt + prettier)	gap	into-charon	none	port-to-charon	Charon shell scripts have no format gate; style is per-author.
slop	SLOP-INV:6.76	ms-enforce (warn-only): Shadow Promotion	n-a	into-charon	none	none	Charon no shadow→enforce promotion (every gate is either on or off).
slop	SLOP-INV:6.77	ms-enforce (warn-only): Merge Log Completeness	n-a	into-charon	none	none	Charon has no MERGE-LOG.md; commit-msg hook + COMMIT-CONVENTION-1276 covers it.
slop	SLOP-INV:6.78	tools/check_test_hygiene.py Class A (duplicate test names)	n-a	into-charon	none	none	Charon uses shell-based *.test.sh; duplicate-name check is shell-implicit.
slop	SLOP-INV:6.79	tools/check_test_hygiene.py Class C (production entrypoint = test entrypoint)	gap	into-charon	none	port-to-charon	Same as SLOP-INV:5.2; no production-path vs test-path contract.
slop	SLOP-INV:6.80	tools/check_product_test_imports.py	n-a	into-charon	none	none	Charon has no product tree separate from rig tree.
slop	SLOP-INV:6.81	tools/check_public_standalone.py (5-point proof for public artifact)	n-a	into-charon	none	none	Charon is the build-rig, not the public product.
slop	SLOP-INV:6.82	tools/check_red_proof_ratio.py (75% of GROUND-tier lessons must have non-NONE red_path_test)	ported	into-charon	fleet/tests/*.test.sh	none	Charon tests/*.test.sh are the redproof analog (run actual code, assert outcome).
slop	SLOP-INV:6.83	tools/verify_block_invariants.py (GROUND mutation harness)	gap	into-charon	none	port-to-charon	Charon has no formal block-invariant verification. KSF redproof is the closest.
slop	SLOP-INV:6.84	tools/check_test_isolation.py	n-a	into-charon	none	none	Charon shell tests use tmp_path; isolation is built in.
slop	SLOP-INV:6.85	tools/check_message_vs_diff.py	gap	into-charon	none	port-to-charon	Charon no commit-message-vs-diff reconciler; KSF leak_guard covers some cases (path leaks).
slop	SLOP-INV:6.86	tools/check_handoff_facts.py (two-leg GROUND gate)	gap	into-charon	fleet/handoff-check.sh	port-to-charon	Charon handoff-check.sh is the structural analog; no two-leg GROUND gate.
slop	SLOP-INV:6.87	tools/check_handoff_state.py	gap	into-charon	fleet/handoff-check.sh	port-to-charon	Charon handoff-check.sh validates SHA existence; no SHA=origin/main assertion.
slop	SLOP-INV:6.88	tools/check_session_winddown.py	gap	into-charon	fleet/end-session.sh	port-to-charon	Charon end-session.sh is the analog; not all sub-gates covered.
slop	SLOP-INV:6.89	tools/check_cleanup_ledger.py	n-a	into-charon	none	none	Charon no PROJECT_CLEANUP.md ledger.
slop	SLOP-INV:6.90	tools/check_audit_trail.py (report presence within 24h)	gap	into-charon	none	port-to-charon	Charon no per-session audit report requirement.
slop	SLOP-INV:6.91	Makefile: test, test-contracts, test-fast, check, lint, publish-slop	n-a	into-charon	none	none	Charon uses fleet/*.sh; no Makefile (could add a top-level target for the full-gate sequence).
slop	SLOP-INV:6.92	ms-enforce (orchestrator) — 3 tiers: Tier 0 (semgrep), Tier 1 (~15s, 20+ gates), Tier 2 (~30s, 10+ gates)	gap	into-charon	fleet/checks/*	port-to-charon	Charon has individual gates in fleet/checks/ but no orchestrator with tiered timing.
slop	SLOP-INV:6.93	ms-test.py (live integration) — sections A-P, HTTP requests against live server	n-a	into-charon	none	none	No ms-test.py in Charon; Charon's dogfood layer is the live integration test (BATTERY-DESIGN).
slop	SLOP-INV:6.94	ms-testgen (behavioral generator)	n-a	into-charon	none	none	No ms-testgen; Charon doesn't auto-generate tests.
slop	SLOP-INV:6.95	ms-test-all (9-stage pipeline)	n-a	into-charon	none	none	Charon land.sh + done.sh + preflight.sh are the equivalent pipeline (3 stages).
slop	SLOP-INV:6.96	schemathesis API fuzzing	n-a	into-charon	none	none	No schemathesis; not applicable.
slop	SLOP-INV:6.97	playwright browser E2E	n-a	into-charon	none	none	No browser in Charon.
slop	SLOP-INV:6.98	pytest configuration (markers, testpaths, strict asyncio_mode, 30s timeout)	ported	into-charon	pytest.ini	none	Charon has pytest.ini with norecursedirs; same approach.
slop	SLOP-INV:6.99	mutmut configuration	n-a	into-charon	none	none	No mutmut in Charon.
slop	SLOP-INV:6.100	hadolint Dockerfile lint	n-a	into-charon	none	none	No Dockerfiles in Charon rig layer.
slop	SLOP-INV:6.101	actionlint CI workflow syntax	n-a	into-charon	none	none	Charon has no .github/workflows at this layer (rig-side workflows live elsewhere).
slop	SLOP-INV:6.102	trivy dependency CVE scan (weekly)	n-a	into-charon	none	none	Stdlib-only; not applicable.
slop	SLOP-INV:6.103	safety_critical_gates.json + verify_block_invariants.py	gap	into-charon	fleet/checks	port-to-charon	Charon no safety-critical gate registry; KSF redproof is the structural analog.
slop	SLOP-INV:6.104	gate_truegreen_coverage.json	gap	into-charon	none	port-to-charon	Charon no gate-coverage map.
slop	SLOP-INV:6.105	tools/analyze-tests.py (unified test quality and coverage analysis)	gap	into-charon	none	port-to-charon	Charon no unified test analyzer.
slop	SLOP-INV:6.106	tools/check-readiness.py (per-distro evidence archive)	n-a	into-charon	none	none	Charon is single-host; not applicable.
slop	SLOP-INV:6.107	python3 ms-enforce --fast should be clean before push	ported	into-charon	fleet/preflight.sh	none	MANAGER-OPERATING-RULES step 3 'gate GREEN on every commit' is the same; preflight.sh is the wrapper.
slop	SLOP-INV:7.1	ARCHITECTURE.md:43 — Critical Contracts: violating layer contracts causes silent failures	n-a	into-charon	none	none	Charon's proxy server is a relay; not a layered system.
slop	SLOP-INV:7.2	ARCHITECTURE.md:47-50 — Database tables: state.db SQLite with named tables (apps, app_instances, operation_steps, etc.)	n-a	into-charon	none	none	No SQLite in Charon rig layer.
slop	SLOP-INV:7.3	Rule 1.1: Unified full-visibility system — all components visible to all others; no hidden state or undocumented behavior	ported	into-charon	none	none	MANAGER-OPERATING-RULES §2 'mechanized handoff' + handoff.sh keep all state visible.
slop	SLOP-INV:7.4	Rule 1.3: Unified endpoints — one endpoint per operation; multiple endpoints for same operation must be consolidated	n-a	into-charon	none	none	No HTTP API in Charon rig layer.
slop	SLOP-INV:7.5	Rule 1.5: Fail loud fail fast — observable HTTP status codes, contextual error messages, actionable next steps	ported	into-charon	none	none	MANAGER-OPERATING-RULES §11 'green is not proof' + 'fail-loud' is the same discipline.
slop	SLOP-INV:7.6	Rule 1.6: Idempotency by design — semantically repeatable operations must be tested for idempotency; health check must never promote pending→ready	n-a	into-charon	none	none	No health-check state machine in Charon rig layer.
slop	SLOP-INV:7.7	Rule 1.7: Resource conflict prevention — port/app-key/slot allocation must validate availability before allocation; guard must have explicit conflict test	n-a	into-charon	none	none	Charon is not a multi-app orchestrator.
